Name,Father Name,Sex,Date of Birth,Passport No,Nationality,Height (cm),Weight (kg),BP (mmHg),Pulse,Eyes,Chest,Abdomen,Hernia,Varicose Veins,Skin,CNS,Respiratory System,Cardiovascular System,Liver,Spleen,Urine - Albumin,Urine - Sugar,Hemoglobin (g/dl),WBC (10^9/L),RBC (10^12/L),Hepatitis B,Hepatitis C,HIV,VDRL,TPHA,Radiology,Fitness Status
Ahmed,Rauf,,8/16/1994,PK635178,Pakistani,180.4,67.5,120/80,95.9,Weak,Normal,Normal,No Hernia,Normal,Rashes,Normal,Clear,Murmur,Normal,Normal,Negative,Negative,14.9,5.2,5.9,Non-Reactive,Reactive,Negative,Reactive,Non-Reactive,Abnormal,UNFIT
Khan,Iqbal,Female,2/16/1996,PK147317,Pakistani,,,140/90,77,Weak,Normal,Normal,No Hernia,Swollen,Clear,Normal,Clear,Murmur,Normal,Normal,Negative,Negative,12.8,7.6,4.2,Reactive,Non-Reactive,Positive,Non-Reactive,Non-Reactive,Abnormal,FIT
Imran,Rauf,Male,11/1/1981,PK765018,Pakistani,187,80.6,140/90,93.1,Weak,Normal,Normal,No Hernia,Swollen,Rashes,Normal,Blocked,Murmur,Enlarged,Enlarged,Positive,,12.7,10.6,4.5,Non-Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,Abnormal,UNFIT
Zain,Iqbal,Male,7/12/1988,PK700035,Pakistani,183,63.2,130/85,86,Weak,Abnormal,Normal,No Hernia,Swollen,Clear,Normal,Clear,Normal,Normal,Enlarged,Negative,Negative,12.8,8.2,4.5,Non-Reactive,Reactive,Negative,Non-Reactive,Reactive,CLEAR,FIT
Imran,Noman,Male,6/29/2001,PK526606,Pakistani,183.5,68.8,130/85,94.9,Normal,Abnormal,Normal,Minor Hernia,Swollen,Clear,Abnormal,Clear,Normal,Enlarged,Normal,Positive,Positive,17.5,10,5.1,Reactive,Reactive,Positive,Reactive,Reactive,Abnormal,FIT
Imran,Ashraf,Female,10/13/1986,PK727519,Pakistani,162.3,68.8,,79.9,Normal,Abnormal,Normal,No Hernia,Swollen,Clear,Abnormal,Blocked,Murmur,Enlarged,Normal,Negative,Positive,15,7.2,4.4,Non-Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,Abnormal,UNFIT
Zain,Rauf,Male,2/2/1996,,Pakistani,172.7,,130/85,68,Weak,Abnormal,Normal,Minor Hernia,Normal,Clear,Abnormal,Clear,Normal,Normal,Enlarged,Negative,Negative,15.8,10.2,4.4,Non-Reactive,Non-Reactive,Negative,Non-Reactive,Non-Reactive,Abnormal,UNFIT
Zain,Rashid,Male,2/28/1996,PK259668,Pakistani,164.8,91.1,120/80,79.5,Normal,Abnormal,Normal,No Hernia,Normal,Clear,Abnormal,Blocked,,Normal,Normal,Negative,Negative,12.7,7.1,5.2,Reactive,Reactive,Positive,Non-Reactive,Non-Reactive,,FIT
Ahmed,Rauf,Male,4/24/1989,PK835370,Pakistani,167.1,58.9,130/85,88.6,Normal,Normal,,No Hernia,Swollen,Clear,Abnormal,Clear,Murmur,Enlarged,Normal,Positive,Positive,17.5,8.7,5.1,Reactive,Reactive,Positive,Non-Reactive,Reactive,Abnormal,FIT
Ahmed,Iqbal,Female,,PK214785,Pakistani,177,45.4,140/90,93.6,Normal,Abnormal,Normal,No Hernia,Normal,Rashes,Normal,Blocked,Murmur,Normal,Normal,Negative,Positive,17.5,9.7,4.5,Non-Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,Abnormal,UNFIT
